commit_date,date,month,followers,new_followers,tweets,tweet_impressions,profile_visits,mentions
2019-12-04,2019-12-04,Nov,27243,390,28,231000,1360,197
2019-11-03,2019-11-03,Oct,26836,418,20,158000,1418,213
2019-10-02,2019-10-02,Sep,26398,349,24,159000,1624,374
2019-09-03,2019-09-03,Aug,25952,147,24,227000,1846,295
2019-08-01,2019-08-01,Jul,25405,636,26,292000,3154,477
2019-07-01,2019-07-01,Jun,24770,403,24,212000,2420,336
2019-06-04,2019-06-04,May,24402,535,29,235000,3751,524
2019-05-02,2019-05-02,Apr,23826,606,20,162000,3083,296
2019-04-04,2019-04-04,Mar,23179,478,38,234000,2845,266
2019-03-01,2019-03-01,Feb,22701,351,20,205000,2327,348
2019-02-01,2019-02-01,Jan,22345,405,26,217000,3603,292
2019-01-02,2019-01-01,Dec,21925,333,28,211000,2369,212
2018-12-02,2018-12-01,Nov,21531,476,38,244000,4104,497
2018-11-04,2018-11-01,Oct,21029,414,40,265000,2916,275
2018-10-02,2018-10-01,Sep,20515,403,43,324000,3624,353
2018-09-05,2018-09-01,Aug,20109,336,27,176000,2543,193
2018-08-02,2018-08-01,Jul,NA,401,14,165000,2707,292
2018-08-02,2018-07-01,Jun,NA,435,27,240000,3415,359
2018-08-02,2018-06-01,May,NA,417,49,269000,4583,531
2018-08-02,2018-05-01,Apr,NA,394,34,205000,3584,368
2018-08-02,2018-04-01,Mar,NA,484,33,183000,4484,521
2018-08-02,2018-03-01,Feb,NA,546,22,216000,4517,375
2018-02-01,2018-02-01,Jan,16900,534,22,193000,3644,367
2018-01-08,2018-01-01,Dec,16500,434,17,192000,2951,264
2017-12-05,2017-12-01,Nov,16000,390,33,210000,3219,244
2017-11-02,2017-11-01,Oct,15530,435,23,185000,3514,250
2017-10-02,2017-10-01,Sep,15058,393,45,176000,2801,200
2017-10-02,2017-09-01,Aug,14600,509,43,255000,4319,360
2017-10-02,2017-08-01,Jul,14200,333,27,171000,3546,304
2017-10-02,2017-07-01,Jun,NA,368,33,191000,3276,363
2017-10-02,2017-06-01,May,NA,NA,20,110000,3406,340
2017-10-02,2017-05-01,Apr,12900,315,32,102000,2723,155
2017-10-02,2017-04-01,Mar,NA,286,26,97000,2673,152
2017-10-02,2017-03-01,Feb,NA,290,25,125000,3158,174
2017-10-02,2017-02-01,Jan,NA,355,37,104000,2594,160
2017-10-02,2017-01-01,Dec,NA,254,37,110000,1997,145
2017-10-02,2016-12-01,Nov,NA,295,29,87000,1657,99
2017-10-02,2016-11-01,Oct,NA,261,21,66200,1817,73
2017-10-02,2016-10-01,Sep,11700,236,16,87600,1927,95
2017-10-02,2016-09-01,Aug,NA,264,24,82500,1855,70
2017-10-02,2016-08-01,Jul,NA,211,20,73400,1679,46
2017-10-02,2016-07-01,Jun,NA,NA,16,51800,1669,72
2017-10-02,2016-06-01,May,NA,NA,23,117000,1860,65
2017-10-02,2016-05-01,Apr,NA,NA,15,57900,1759,116
2017-10-02,2016-04-01,Mar,NA,NA,23,86900,2443,134
2017-10-02,2016-03-01,Feb,NA,NA,17,53600,1616,61
2017-10-02,2016-02-01,Jan,NA,NA,14,40600,1757,101
